wp_post_id,title,ical_url,brassbell_url,blocked_ranges,available_nights
70001,1 Bedroom Royal suite King bed Nile view,https://mohamedmaged3002-droid.github.io/brassbell-ical/70001.ics,https://www.brassbell.net/property/1-bedroom-royal-suite-king-bed-nile-view/,3,196
70003,1 Bedroom suite Twin bed Nile view,https://mohamedmaged3002-droid.github.io/brassbell-ical/70003.ics,https://www.brassbell.net/property/1-bedroom-suite-twin-bed-nile-view/,0,215
70004,2 Bedroom Royal suite 1 King bed and two twin beds,https://mohamedmaged3002-droid.github.io/brassbell-ical/70004.ics,https://www.brassbell.net/property/2-bedroom-royal-suite-1-king-bed-and-two-twin-beds/,1,214
70005,2 Bedroom suite king bed and 2 Twin beds Nile view,https://mohamedmaged3002-droid.github.io/brassbell-ical/70005.ics,https://www.brassbell.net/property/2-bedroom-suite-king-bed-and-2-twin-beds-nile-view/,2,213
70006,One Bedroom Apartment In The Center Of Downtown Cairo,https://mohamedmaged3002-droid.github.io/brassbell-ical/70006.ics,https://www.brassbell.net/property/SJ1BRA/,3,205
70007,6 October · Aeon 2BR w/ Garden,https://mohamedmaged3002-droid.github.io/brassbell-ical/70007.ics,https://www.brassbell.net/property/brassbell-l-6-october-l-aeon-2br-w-garden-AEON-2BR-G-G3/,2,203
70008,Sh. Zayed Aeon Towers 2BR w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70008.ics,https://www.brassbell.net/property/brassbell-l-sh-zayed-aeon-towers-2br-w-kitchen-AEON-2BR-705/,1,210
70009,Sh. Zayed Aeon Towers 2BR w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70009.ics,https://www.brassbell.net/property/brassbell-l-sh-zayed-aeon-towers-2br-w-kitchen-AEON-2BR-905/,1,201
70010,Sh. Zayed · Aeon 1BR City view,https://mohamedmaged3002-droid.github.io/brassbell-ical/70010.ics,https://www.brassbell.net/property/brassbell-l-sh-zayed-l-aeon-1br-city-view-AEON-1BR-1111/,2,174
70011,Sh. Zayed · Aeon 1BR w/ Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70011.ics,https://www.brassbell.net/property/brassbell-l-sh-zayed-l-aeon-1br-w-balcony/,1,198
70012,Sh. Zayed · Aeon 1BR w/Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70012.ics,https://www.brassbell.net/property/brassbell-l-sh-zayed-l-aeon-1br-wbalcony-AEON-1BR-206/,3,205
70013,Sh. Zayed · Aeon 2BR w/Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70013.ics,https://www.brassbell.net/property/brassbell-l-sh-zayed-l-aeon-2br-wbalcony-Aeon-2BR-ROOM-167/,1,203
70014,Sh. Zayed · Aeon Towers 2BR w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70014.ics,https://www.brassbell.net/property/brassbell-l-sh-zayed-l-aeon-towers-2br-w-kitchen-AEON-2BR-407/,1,205
70015,Sh. Zayed Aeon Towers 2BR w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70015.ics,https://www.brassbell.net/property/brassbell-sh-zayed-aeon-towers-2br-w-kitchen-308-AEON-2BR-308/,1,209
70016,Sh. Zayed Aeon Towers 2BR w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70016.ics,https://www.brassbell.net/property/brassbell-sh-zayed-aeon-towers-2br-w-kitchen-AEON-2BR-1501/,2,201
70017,Sh. Zayed Aeon Towers 2BR w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70017.ics,https://www.brassbell.net/property/brassbell-sh-zayed-aeon-towers-2br-w-kitchen-AEON-2BR-1502/,1,171
70018,Sh. Zayed Aeon Towers 2BR w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70018.ics,https://www.brassbell.net/property/brassbell-sh-zayed-aeon-towers-2br-w-kitchen-AEON-2BR-702/,1,208
70019,Sh. Zayed Aeon Towers 2BR w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70019.ics,https://www.brassbell.net/property/brassbell-sh-zayed-aeon-towers-2br-w-kitchen-AEON-2BR-SL01/,2,210
70020,Sh. Zayed Aeon Towers 3BR Garden View,https://mohamedmaged3002-droid.github.io/brassbell-ical/70020.ics,https://www.brassbell.net/property/brassbell-sh-zayed-aeon-towers-3br-garden-view-AEON-3BR-907/,3,199
70021,Sh. Zayed · Aeon Towers 2BR w/ Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70021.ics,https://www.brassbell.net/property/brassbell-sh-zayed-l-aeon-towers-2br-w-balcony-AEON-2BR-703/,2,209
70022,Sh.Zayed Aeon Towers Studio w/ Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70022.ics,https://www.brassbell.net/property/brassbell-shzayed-aeon-towers-studio-w-balcony-AEON-Studio-602/,4,188
70023,Sh.Zayed Aeon Towers Studio w/ Kitchen 2,https://mohamedmaged3002-droid.github.io/brassbell-ical/70023.ics,https://www.brassbell.net/property/brassbell-shzayed-aeon-towers-studio-w-kitchen-2-AEON-Studio-601/,1,206
70024,ShZayed Aeon Towers Studio w/ Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70024.ics,https://www.brassbell.net/property/brassbell-shzayed-aeon-towers-studio-w-kitchen-AEON-Studio-901/,1,213
70025,ShZayed Aeon Towers Studio w/Kitchen,https://mohamedmaged3002-droid.github.io/brassbell-ical/70025.ics,https://www.brassbell.net/property/brassbell-shzayed-aeon-towers-studio-wkitchen-AEON-Studio-1006/,3,199
70026,Budget Studio,https://mohamedmaged3002-droid.github.io/brassbell-ical/70026.ics,https://www.brassbell.net/property/budget-studio/,2,211
70027,Budget Studio,https://mohamedmaged3002-droid.github.io/brassbell-ical/70027.ics,https://www.brassbell.net/property/budget-studio-/,1,214
70028,Budget Studio In The Center of Downtown Cairo,https://mohamedmaged3002-droid.github.io/brassbell-ical/70028.ics,https://www.brassbell.net/property/budget-studio-in-the-center-of-downtown-cairo-ROOM-094/,1,214
70029,Budget Studio In The Center Of Zamalek,https://mohamedmaged3002-droid.github.io/brassbell-ical/70029.ics,https://www.brassbell.net/property/budget-studio-in-the-center-of-zamalek-ROOM-014/,1,213
70030,Budget Studio In The Central Of Zamalek,https://mohamedmaged3002-droid.github.io/brassbell-ical/70030.ics,https://www.brassbell.net/property/budget-studio-in-the-central-of-zamalek-ROOM-121/,2,210
70031,Budget Studio Near Tahrir Square,https://mohamedmaged3002-droid.github.io/brassbell-ical/70031.ics,https://www.brassbell.net/property/budget-studio-near-tahrir-square-ROOM-059/,7,204
70032,Budget Studio Near The Saudi Embassy,https://mohamedmaged3002-droid.github.io/brassbell-ical/70032.ics,https://www.brassbell.net/property/budget-studio-near-the-saudi-embassy-ROOM-147/,2,210
70033,Delux Studio With Balcony In The Center Of Zamalek,https://mohamedmaged3002-droid.github.io/brassbell-ical/70033.ics,,1,210
70034,Deluxe Junior Suite Near Tahrir Square,https://mohamedmaged3002-droid.github.io/brassbell-ical/70034.ics,https://www.brassbell.net/property/deluxe-junior-suite-near-tahrir-square-ROOM-162/,1,213
70035,Deluxe Studio With Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70035.ics,https://www.brassbell.net/property/deluxe-studio-with-balcony-/,0,215
70036,Economy Studio Near Tahrir Square,https://mohamedmaged3002-droid.github.io/brassbell-ical/70036.ics,https://www.brassbell.net/property/economy-studio-near-tahrir-square-ROOM-060/,7,197
70037,Economy Studio Next To Tahrir Square,https://mohamedmaged3002-droid.github.io/brassbell-ical/70037.ics,https://www.brassbell.net/property/economy-studio-next-to-tahrir-square-ROOM-048/,5,206
70038,Executive Room king Bed City view Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70038.ics,https://www.brassbell.net/property/executive-room-king-bed-city-view-balcony/,0,215
70039,Executive Room King Bed Nile view Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70039.ics,https://www.brassbell.net/property/executive-room-king-bed-nile-view-balcony/,1,211
70040,Executive Room Twin Bed City view Balcony,https://mohamedmaged3002-droid.github.io/brassbell-ical/70040.ics,https://www.brassbell.net/property/executive-room-twin-bed-city-view-balcony/,0,215
70042,Executive Studio With Sofa Bed Near Tahrir Square,https://mohamedmaged3002-droid.github.io/brassbell-ical/70042.ics,https://www.brassbell.net/property/executive-studio-with-sofa-bed-near-tahrir-square/,0,215
